mp-pt	item-code	treatment-of-code
fentanyl	5440H	10747
fentanyl	5440H	10751
fentanyl	5441J	10745
fentanyl	5441J	10747
fentanyl	5441J	10751
tobramycin	5442K	5520
fluconazole	5446P	6006
fluconazole	5446P	6045
fluconazole	5446P	6031
fluconazole	5446P	6046
fluconazole	5446P	6032
fluconazole	5446P	7934
denosumab	5457F	6548
denosumab	5457F	6524
quetiapine	5458G	4246
quetiapine	5458G	5611
quetiapine	5458G	5639
dutasteride	5468T	6202
varenicline	5469W	6885
ondansetron	5472B	10498
ondansetron	5473C	10498
vildagliptin + metformin	5474D	6333
vildagliptin + metformin	5474D	6357
vildagliptin + metformin	5474D	6344
vildagliptin + metformin	5474D	6443
vildagliptin + metformin	5475E	6333
vildagliptin + metformin	5475E	6357
vildagliptin + metformin	5475E	6344
vildagliptin + metformin	5475E	6443
vildagliptin + metformin	5476F	6333
vildagliptin + metformin	5476F	6357
vildagliptin + metformin	5476F	6344
vildagliptin + metformin	5476F	6443
valaciclovir	5480K	5940
dutasteride + tamsulosin	5490Y	6189
apixaban	5500L	4381
apixaban	5500L	4359
carbomer-974P	5502N	6172
carbomer-980	5504Q	6172
carmellose sodium	5505R	6172
carmellose sodium	5506T	6172
dextran-70 + hypromellose	5521N	6172
soy lecithin + tocopherol + vitamin A	5545W	6172
oxycodone + naloxone	8000C	10755
oxycodone + naloxone	8000C	10748
oxycodone + naloxone	8000C	10752
famciclovir	8002E	5951
pantoprazole	8007K	8775
pantoprazole	8007K	8774
pantoprazole	8008L	8780
pantoprazole	8008L	8866
morphine	8035X	10755
morphine	8035X	10748
morphine	8035X	10752
lamotrigine	8063J	11081
valaciclovir	8064K	5962
valaciclovir	8064K	5968
olsalazine	8086N	4824
famciclovir	8092X	5937
bicalutamide	8094B	5729
risperidone	8100H	4246
risperidone	8100H	5907
interferon beta-1b	8101J	7695
interferon beta-1b	8101J	6860
valaciclovir	8133C	5960
valaciclovir	8134D	5961
morphine	8146R	10755
morphine	8146R	10748
morphine	8146R	10752
topiramate	8163P	5516
topiramate	8163P	5325
topiramate	8164Q	5516
topiramate	8164Q	5325
topiramate	8165R	5516
topiramate	8165R	5325
topiramate	8166T	5516
olanzapine	8170B	5856
olanzapine	8170B	5869
olanzapine	8185T	5856
olanzapine	8185T	5869
olanzapine	8186W	5856
olanzapine	8186W	5869
olanzapine	8187X	5856
olanzapine	8187X	5869
itraconazole	8196J	6022
itraconazole	8196J	6005
itraconazole	8196J	6057
itraconazole	8196J	5988
itraconazole	8196J	6037
itraconazole	8196J	6016
itraconazole	8196J	6035
famciclovir	8217L	5971
tiagabine	8221Q	4928
tiagabine	8222R	4928
tiagabine	8223T	4928
ondansetron	8233H	4102
protein hydrolysate formula with medium chain triglycerides	8259Q	6174
protein hydrolysate formula with medium chain triglycerides	8259Q	6193
protein hydrolysate formula with medium chain triglycerides	8259Q	6204
protein hydrolysate formula with medium chain triglycerides	8259Q	6137
protein hydrolysate formula with medium chain triglycerides	8259Q	6182
protein hydrolysate formula with medium chain triglycerides	8259Q	6194
protein hydrolysate formula with medium chain triglycerides	8259Q	6157
protein hydrolysate formula with medium chain triglycerides	8259Q	6205
protein hydrolysate formula with medium chain triglycerides	8259Q	6195
protein hydrolysate formula with medium chain triglycerides	8259Q	6158
protein hydrolysate formula with medium chain triglycerides	8259Q	6166
protein hydrolysate formula with medium chain triglycerides	8259Q	6148
protein hydrolysate formula with medium chain triglycerides	8259Q	6138
dextran-70 + hypromellose	8299T	6172
atovaquone	8300W	5609
morphine	8305D	10755
morphine	8305D	10748
morphine	8305D	10752
morphine	8306E	10755
morphine	8306E	10748
morphine	8306E	10752
omeprazole	8331L	8775
omeprazole	8331L	8774
omeprazole	8333N	8780
omeprazole	8333N	8866
morphine	8349K	10755
morphine	8349K	10748
morphine	8349K	10752
tirofiban	8350L	5782
tirofiban	8350L	5809
tirofiban	8350L	5691
acamprosate	8357W	5366
ivermectin	8359Y	4319
raloxifene	8363E	6314
naltrexone	8370M	13967
topiramate	8371N	5173
topiramate	8372P	5173
oxycodone	8385H	10755
oxycodone	8385H	10748
oxycodone	8385H	10752
oxycodone	8386J	10755
oxycodone	8386J	10748
oxycodone	8386J	10752
oxycodone	8387K	10755
oxycodone	8387K	10748
oxycodone	8387K	10752
oxycodone	8388L	10755
oxycodone	8388L	10748
oxycodone	8388L	10752
gabapentin	8389M	4928
ondansetron	8412R	10498
ondansetron	8413T	10498
fluticasone propionate + salmeterol	8430Q	4930
fluticasone propionate + salmeterol	8431R	4930
fluticasone propionate + salmeterol	8432T	4930
fluticasone propionate + salmeterol	8432T	10121
olanzapine	8433W	5856
olanzapine	8433W	5869
olanzapine	8434X	5856
olanzapine	8434X	5869
ursodeoxycholic acid	8448P	9032
quetiapine	8456C	7916
quetiapine	8456C	7927
quetiapine	8456C	7893
quetiapine	8457D	4246
quetiapine	8457D	5611
quetiapine	8457D	5639
quetiapine	8458E	4246
quetiapine	8458E	5611
quetiapine	8458E	5639
albendazole	8459F	5607
bupropion	8465M	6882
morphine	8489T	10755
morphine	8489T	10748
morphine	8489T	10752
morphine	8490W	10755
morphine	8490W	10748
morphine	8490W	10752
morphine	8491X	10755
morphine	8491X	10748
morphine	8491X	10752
morphine	8492Y	10755
morphine	8492Y	10748
morphine	8492Y	10752
morphine	8493B	10755
morphine	8493B	10748
morphine	8493B	10752
morphine	8494C	10755
morphine	8494C	10748
morphine	8494C	10752
albendazole	8503M	5680
gabapentin	8505P	4928
rabeprazole	8508T	8780
rabeprazole	8509W	8775
rabeprazole	8509W	8774
carbomer-974P	8514D	6172
fluticasone propionate	8516F	14180
fluticasone propionate + salmeterol	8517G	4930
fluticasone propionate + salmeterol	8518H	4930
fluticasone propionate + salmeterol	8519J	4930
fluticasone propionate + salmeterol	8519J	10121
topiramate	8520K	5173
tramadol	8523N	10755
tramadol	8523N	10748
tramadol	8523N	10752
tramadol	8524P	10755
tramadol	8524P	10748
tramadol	8524P	10752
tramadol	8525Q	10755
tramadol	8525Q	10748
tramadol	8525Q	10752
gabapentin	8559L	4928
carbomer-980	8578L	6172
quetiapine	8580N	4246
quetiapine	8580N	5611
quetiapine	8580N	5639
oxcarbazepine	8584T	5183
oxcarbazepine	8585W	5183
oxcarbazepine	8586X	5183
whey protein formula supplemented with amino acids, vitamins and minerals, and low in protein, phosphate, potassium and lactose	8587Y	6190
oxcarbazepine	8588B	5183
amisulpride	8594H	4246
amisulpride	8595J	4246
amisulpride	8596K	4246
esomeprazole	8600P	8780
esomeprazole	8600P	8827
mesalazine	8616L	4888
mesalazine	8617M	4888
budesonide + formoterol (eformoterol)	8625Y	7970
montelukast	8627C	6666
montelukast	8628D	6674
montelukast	8628D	7781
levetiracetam	8654L	11116
levetiracetam	8655M	11116
levetiracetam	8656N	11116
desmopressin	8662X	5266
desmopressin	8663Y	5413
desmopressin	8663Y	5295
pioglitazone	8694N	4363
pioglitazone	8694N	4388
pioglitazone	8694N	4364
pioglitazone	8695P	4363
pioglitazone	8695P	4388
pioglitazone	8695P	4364
pioglitazone	8696Q	4363
pioglitazone	8696Q	4388
pioglitazone	8696Q	4364
bupropion	8710K	6881
desmopressin	8711L	5266
desmopressin	8712M	5342
desmopressin	8712M	5267
aripiprazole	8717T	4246
aripiprazole	8718W	4246
aripiprazole	8719X	4246
aripiprazole	8720Y	4246
granisetron	8730L	4092
amisulpride	8736T	4246
mesalazine	8753Q	4888
ezetimibe	8757X	7996
ezetimibe	8757X	7966
ezetimibe	8757X	7990
mesalazine	8768L	4888
fondaparinux	8775W	5781
fondaparinux	8775W	5808
risperidone	8780D	4246
risperidone	8780D	5912
risperidone	8781E	4246
risperidone	8781E	5912
risperidone	8782F	4246
risperidone	8782F	5912
risperidone	8787L	6898
risperidone	8787L	6899
risperidone	8789N	6898
risperidone	8789N	6899
budesonide + formoterol (eformoterol)	8796Y	4380
pimecrolimus	8802G	5482
pimecrolimus	8802G	5472
iron sucrose	8807M	4302
bivalirudin	8844L	4919
buprenorphine	8865N	10755
buprenorphine	8865N	10748
buprenorphine	8865N	10752
buprenorphine	8866P	10755
buprenorphine	8866P	10748
buprenorphine	8866P	10752
buprenorphine	8867Q	10755
buprenorphine	8867Q	10748
buprenorphine	8867Q	10752
risperidone	8869T	5903
granisetron	8873B	10498
fentanyl	8878G	10745
fentanyl	8878G	10747
fentanyl	8878G	10751
eplerenone	8879H	4937
eplerenone	8880J	4937
ezetimibe + simvastatin	8881K	7957
ezetimibe + simvastatin	8882L	7957
esomeprazole	8886Q	8775
esomeprazole	8886Q	8774
fentanyl	8891Y	10745
fentanyl	8891Y	10747
fentanyl	8891Y	10751
fentanyl	8892B	10745
fentanyl	8892B	10747
fentanyl	8892B	10751
fentanyl	8893C	10745
fentanyl	8893C	10747
fentanyl	8893C	10751
fentanyl	8894D	10745
fentanyl	8894D	10747
fentanyl	8894D	10751
famciclovir	8896F	5954
famciclovir	8896F	5947
famciclovir	8896F	5948
famciclovir	8896F	5949
famciclovir	8897G	5943
oxycodone + naloxone	8934F	10755
oxycodone + naloxone	8934F	10748
oxycodone + naloxone	8934F	10752
oxycodone + naloxone	8935G	10755
oxycodone + naloxone	8935G	10748
oxycodone + naloxone	8935G	10752
oxycodone + naloxone	8936H	10755
oxycodone + naloxone	8936H	10748
oxycodone + naloxone	8936H	10752
olanzapine	8952E	5856
olanzapine	8952E	5869
olanzapine	8953F	5856
olanzapine	8953F	5869
levodopa + carbidopa	8970D	10386
desmopressin	8975J	5412
desmopressin	8975J	5226
saxagliptin	8983T	6346
saxagliptin	8983T	6363
saxagliptin	8983T	7505
alendronate + colecalciferol	9012H	6307
alendronate + colecalciferol	9012H	6320
alendronate + colecalciferol	9012H	6315
ketoconazole	9024Y	6434
miconazole	9027D	6434
miconazole	9028E	6434
miconazole	9029F	6434
miconazole	9031H	6434
albendazole	9047E	5817
albendazole	9047E	5712
albendazole	9047E	5797
ziprasidone	9070J	4246
ziprasidone	9070J	5742
ziprasidone	9071K	4246
ziprasidone	9071K	5742
ziprasidone	9072L	4246
ziprasidone	9072L	5742
ziprasidone	9073M	4246
ziprasidone	9073M	5742
risperidone	9079W	6897
risperidone	9079W	6938
atomoxetine	9092M	7876
atomoxetine	9092M	7890
atomoxetine	9093N	7876
atomoxetine	9093N	7890
atomoxetine	9094P	7876
atomoxetine	9094P	7890
atomoxetine	9095Q	7876
atomoxetine	9095Q	7890
atomoxetine	9096R	7876
atomoxetine	9096R	7890
omeprazole	9109K	8775
omeprazole	9109K	8774
omeprazole	9110L	8780
omeprazole	9110L	8866
varenicline	9128K	6871
varenicline	9129L	7483
paliperidone	9140C	4246
paliperidone	9141D	4246
paliperidone	9142E	4246
cinacalcet	9157Y	10068
cinacalcet	9158B	10068
cinacalcet	9159C	10068
terbinafine	9160D	6434
terbinafine	9160D	6412
levetiracetam	9169N	11077
sitagliptin	9180E	6346
sitagliptin	9180E	6363
sitagliptin	9180E	6376
sitagliptin	9180E	7505
sitagliptin	9181F	6346
sitagliptin	9181F	6363
sitagliptin	9181F	6376
sitagliptin	9181F	7505
sitagliptin	9182G	6346
sitagliptin	9182G	6363
sitagliptin	9182G	6376
sitagliptin	9182G	7505
alendronate + colecalciferol	9183H	6306
alendronate + colecalciferol	9183H	6325
alendronate + colecalciferol	9183H	6319
quetiapine	9202H	4246
quetiapine	9202H	5611
quetiapine	9202H	5639
quetiapine	9203J	4246
quetiapine	9203J	5611
quetiapine	9203J	5639
quetiapine	9204K	4246
quetiapine	9204K	5611
quetiapine	9204K	5639
quetiapine	9205L	4246
quetiapine	9205L	5611
quetiapine	9205L	5639
zoledronic acid	9288W	6308
zoledronic acid	9288W	6313
zoledronic acid	9288W	6318
atomoxetine	9289X	7876
atomoxetine	9289X	7890
atomoxetine	9290Y	7876
atomoxetine	9290Y	7890
risperidone	9293D	6898
risperidone	9293D	6899
olanzapine	9294E	4304
olanzapine	9295F	4304
olanzapine	9303P	4304
dabigatran	9318K	4369
dabigatran	9319L	4369
dabigatran	9320M	4402
dabigatran	9321N	4402
dabigatran	9322P	4381
dabigatran	9323Q	4381
medium chain triglycerides	9327X	6181
medium chain triglycerides	9327X	6134
medium chain triglycerides	9327X	6164
medium chain triglycerides	9327X	6203
medium chain triglycerides	9327X	6155
medium chain triglycerides	9327X	6135
medium chain triglycerides	9327X	6146
lacosamide	9333F	8813
lacosamide	9334G	8813
lacosamide	9335H	8770
lacosamide	9335H	8815
lacosamide	9336J	8813
lacosamide	9337K	8770
lacosamide	9337K	8815
lacosamide	9338L	8770
lacosamide	9338L	8815
zoledronic acid	9350D	5710
sorafenib	9380Q	11160
sorafenib	9380Q	8617
triglycerides medium chain formula	9383W	6165
triglycerides medium chain formula	9383W	6192
triglycerides medium chain formula	9383W	6173
triglycerides medium chain formula	9383W	6156
triglycerides medium chain formula	9383W	6136
zonisamide	9388D	4928
zonisamide	9389E	4928
zonisamide	9390F	4928
desmopressin	9398P	5412
desmopressin	9398P	5226
oxycodone	9399Q	10755
oxycodone	9399Q	10748
oxycodone	9399Q	10752
oxycodone	9400R	10755
oxycodone	9400R	10748
oxycodone	9400R	10752
lanthanum	9403X	5491
lanthanum	9404Y	5491
lanthanum	9405B	5491
sunitinib	9417P	11878
sunitinib	9418Q	11878
sunitinib	9419R	11878
sunitinib	9420T	11875
sunitinib	9421W	11875
sunitinib	9422X	11875
pantoprazole	9423Y	8775
pantoprazole	9423Y	8774
pantoprazole	9424B	8780
pantoprazole	9424B	8866
mupirocin	9440W	6647
praziquantel	9447F	5659
soy lecithin + tocopherol + vitamin A	9448G	6172
sitagliptin + metformin	9449H	6333
sitagliptin + metformin	9449H	6334
sitagliptin + metformin	9449H	6344
sitagliptin + metformin	9449H	6443
sitagliptin + metformin	9449H	7530
sitagliptin + metformin	9450J	6333
sitagliptin + metformin	9450J	6334
sitagliptin + metformin	9450J	6344
sitagliptin + metformin	9450J	6443
sitagliptin + metformin	9450J	7530
sitagliptin + metformin	9451K	6333
sitagliptin + metformin	9451K	6334
sitagliptin + metformin	9451K	6344
sitagliptin + metformin	9451K	6443
sitagliptin + metformin	9451K	7530
rivaroxaban	9466F	4402
rivaroxaban	9467G	4402
rivaroxaban	9469J	4382
lansoprazole	9477T	8775
lansoprazole	9477T	8774
lansoprazole	9478W	8780
ezetimibe + simvastatin	9483D	7958
ezetimibe + simvastatin	9484E	7958
pazopanib	2029T	11974
pazopanib	2030W	11974
hyaluronate sodium	2181T	4105
hyaluronate sodium	2253N	4105
hyaluronate sodium	2184Y	4105
hyaluronate sodium	2171G	4105
rivaroxaban	2160Q	4098
rivaroxaban	2160Q	4260
rivaroxaban	2268J	4099
rivaroxaban	2268J	4132
rivaroxaban	2268J	4268
rivaroxaban	2268J	4269
pazopanib	2232L	11939
pazopanib	2201W	11939
pregabalin	2355Y	4172
pregabalin	2348N	4172
pregabalin	2335X	4172
pregabalin	2363J	4172
aprepitant	2518M	4211
aprepitant	2518M	4215
aprepitant	2518M	6444
aprepitant	2518M	6370
memantine	2492E	13966
memantine	2513G	13966
galantamine	2463P	13938
galantamine	2537M	13938
galantamine	2531F	13938
donepezil	2479L	13938
donepezil	2532G	13938
rivastigmine	2475G	13938
rivastigmine	2493F	13938
rivastigmine	2494G	13938
rivastigmine	2477J	13938
rivastigmine	2526Y	13938
rivastigmine	2551G	13938
dapagliflozin	10011X	7506
dapagliflozin	10011X	4991
dapagliflozin	10011X	5629
dapagliflozin	10011X	7495
teriflunomide	2898M	10150
teriflunomide	2898M	10199
dimethyl fumarate	2896K	10140
dimethyl fumarate	2966D	10139
pazopanib	10054E	7459
pazopanib	10042M	9247
pazopanib	10047T	7458
pazopanib	10052C	7459
pazopanib	10041L	9247
pazopanib	10043N	7458
alogliptin	2933J	4349
alogliptin	2986E	4349
alogliptin	2944Y	4349
afatinib	11336P	7613
afatinib	11348G	7613
afatinib	11347F	7613
afatinib	11342Y	7613
dabrafenib	2963Y	10157
dabrafenib	2846T	10157
ivermectin	2868Y	4328
ivermectin	2868Y	4565
ivermectin	2868Y	4566
ivermectin	2868Y	12604
cefalexin	2655R	4243
trimethoprim	2666H	4243
rivaroxaban	2691P	4269
apixaban	2735Y	4269
apixaban	2735Y	4099
apixaban	2735Y	5083
apixaban	2744K	4269
apixaban	2744K	4132
dabigatran	2769R	4269
dabigatran	2753X	4269
clobetasol	10080M	5461
axitinib	10539Q	7433
axitinib	10556N	7433
tobramycin	10066T	4456
tobramycin	10074F	4513
alogliptin + metformin	10035E	4423
alogliptin + metformin	10035E	4427
alogliptin + metformin	10033C	4423
alogliptin + metformin	10033C	4427
alogliptin + metformin	10032B	4423
alogliptin + metformin	10032B	4427
sitagliptin + metformin	10089B	6333
sitagliptin + metformin	10089B	6334
sitagliptin + metformin	10089B	6344
sitagliptin + metformin	10089B	6443
sitagliptin + metformin	10089B	7530
iron polymaltose	2805P	4302
dabrafenib	2954L	6013
dabrafenib	10003L	6013
whey protein formula supplemented with amino acids, long chain polyunsaturated fatty acids, vitamins and minerals, low in protein, phosphate, potassium and lactose	2870C	6190
sunitinib	10009T	7471
sunitinib	2842N	7471
sunitinib	10010W	7471
dimethyl fumarate	2943X	10139
ivabradine	10012Y	4979
ivabradine	2960T	4979
fluticasone propionate + formoterol (eformoterol)	10007Q	4395
fluticasone propionate + formoterol (eformoterol)	10008R	4395
fluticasone propionate + formoterol (eformoterol)	2827T	4395
esomeprazole	10343J	8780
esomeprazole	10343J	8827
esomeprazole	10295W	8775
esomeprazole	10295W	8774
erlotinib	10019H	4600
erlotinib	10025P	4600
erlotinib	10028T	4600
budesonide + formoterol (eformoterol)	10015D	4397
budesonide + formoterol (eformoterol)	10018G	4404
budesonide + formoterol (eformoterol)	10018G	10121
budesonide + formoterol (eformoterol)	10024N	4397
febuxostat	10445R	8921
lurasidone	10529E	4246
lurasidone	10526B	4246
indacaterol + glycopyrronium	10156M	7798
linagliptin + metformin	10044P	6333
linagliptin + metformin	10044P	6336
linagliptin + metformin	10044P	6344
linagliptin + metformin	10044P	6443
linagliptin + metformin	10044P	7530
linagliptin + metformin	10038H	6333
linagliptin + metformin	10038H	6336
linagliptin + metformin	10038H	6344
linagliptin + metformin	10038H	6443
linagliptin + metformin	10038H	7530
linagliptin + metformin	10045Q	6333
linagliptin + metformin	10045Q	6336
linagliptin + metformin	10045Q	6344
linagliptin + metformin	10045Q	6443
linagliptin + metformin	10045Q	7530
saxagliptin + metformin	10048W	6333
saxagliptin + metformin	10048W	6335
saxagliptin + metformin	10048W	6344
saxagliptin + metformin	10048W	7530
saxagliptin + metformin	10051B	6333
saxagliptin + metformin	10051B	6335
saxagliptin + metformin	10051B	6344
saxagliptin + metformin	10051B	7530
saxagliptin + metformin	10055F	6333
saxagliptin + metformin	10055F	6335
saxagliptin + metformin	10055F	6344
saxagliptin + metformin	10055F	7530
umeclidinium + vilanterol	10188F	7798
tapentadol	10094G	10755
tapentadol	10094G	10748
tapentadol	10094G	10752
tapentadol	10100N	10755
tapentadol	10100N	10748
tapentadol	10100N	10752
tapentadol	10091D	10755
tapentadol	10091D	10748
tapentadol	10091D	10752
tapentadol	10092E	10755
tapentadol	10092E	10748
tapentadol	10092E	10752
tapentadol	10096J	10755
tapentadol	10096J	10748
tapentadol	10096J	10752
denosumab	10061M	4504
trametinib	10403M	10051
trametinib	10382K	10051
trametinib	10405P	6752
sitagliptin + metformin	10090C	6333
sitagliptin + metformin	10090C	6334
sitagliptin + metformin	10090C	6344
sitagliptin + metformin	10090C	6443
sitagliptin + metformin	10090C	7530
empagliflozin	10206E	7506
empagliflozin	10206E	4991
empagliflozin	10206E	5629
empagliflozin	10206E	7495
empagliflozin	10202Y	7506
empagliflozin	10202Y	4991
empagliflozin	10202Y	5629
empagliflozin	10202Y	7495
saxagliptin	10128C	6346
saxagliptin	10128C	6363
saxagliptin	10128C	7505
perampanel	10157N	4656
perampanel	10162W	4658
perampanel	10163X	4658
perampanel	11407J	7789
perampanel	10160R	4658
perampanel	10151G	4658
perampanel	10159Q	4658
dapagliflozin + metformin	10515K	5631
dapagliflozin + metformin	10515K	5739
dapagliflozin + metformin	10515K	5798
dapagliflozin + metformin	10515K	5657
dapagliflozin + metformin	10515K	7492
dapagliflozin + metformin	10516L	5631
dapagliflozin + metformin	10516L	5739
dapagliflozin + metformin	10516L	5798
dapagliflozin + metformin	10516L	5657
dapagliflozin + metformin	10516L	7492
dapagliflozin + metformin	10510E	5631
dapagliflozin + metformin	10510E	5739
dapagliflozin + metformin	10510E	5798
dapagliflozin + metformin	10510E	5657
dapagliflozin + metformin	10510E	7492
sucroferric oxyhydroxide	10250L	5491
peginterferon beta-1a	10212L	7695
peginterferon beta-1a	10218T	7695
peginterferon beta-1a	10220X	6860
trametinib	10385N	6752
ezetimibe + atorvastatin	10392Y	7958
ezetimibe + atorvastatin	10393B	7957
ezetimibe + atorvastatin	10377E	7957
ezetimibe + atorvastatin	10376D	7957
itraconazole	10732W	6022
itraconazole	10732W	6005
itraconazole	10732W	6057
itraconazole	10732W	5988
itraconazole	10732W	6037
itraconazole	10732W	6016
itraconazole	10732W	6035
aripiprazole	10224D	4246
aripiprazole	10219W	4246
ezetimibe (&) rosuvastatin	10204C	7958
ezetimibe (&) rosuvastatin	10208G	7957
ezetimibe (&) rosuvastatin	10201X	7957
ezetimibe (&) rosuvastatin	10207F	7957
sorafenib	10242C	7487
apremilast	12218C	13243
apremilast	12223H	13243
netupitant + palonosetron	10731T	5991
netupitant + palonosetron	10731T	5994
netupitant + palonosetron	10731T	6937
netupitant + palonosetron	10731T	6879
lacosamide	10293R	8815
glatiramer acetate	10416F	7695
glatiramer acetate	10416F	6860
sunitinib	10473F	7471
sunitinib	10459L	11875
aclidinium + formoterol (eformoterol)	10565C	7798
apixaban	10414D	4098
apixaban	10414D	5098
tiotropium + olodaterol	10557P	7798
sunitinib	10504W	11878
lenvatinib	13253M	13921
lenvatinib	13253M	13972
lenvatinib	13253M	14007
lenvatinib	10952K	6604
lenvatinib	10952K	6578
lenvatinib	10965D	6604
lenvatinib	10965D	6578
empagliflozin + metformin	10650M	5953
empagliflozin + metformin	10650M	7498
empagliflozin + metformin	10649L	5953
